"Hash","SizeBytes","FileCount","TotalFootprintBytes"
"37AA8CFB7196BBADB74186DC257E56B6458BA681E45D08CC9BA230D28289C68A","1234","2","2468"
"F103991597F385282F49650814A454E2C00F8ED5BB5397A8A51ECC2DAC18B15C","677","4","2708"
"A292ABB9A636203F4A7B49908693B4A517D4B364EF8A49E9146514F8158E03E8","64516","2","129032"
"37A77B3925FFE312FD0322908E5082576C27AB65AA7DBB8658E01C92DFFF6067","10966","3","32898"
"6B2CC0E1D379BDED0238167030F9FB15B5CB2BC13CDFE33B3ADA32277D1F371F","916","2","1832"
"D7ECCA9D588B5B8F2086AB292EADBEA90B6BB124E3CBB208351923304D54C4BA","1648","3","4944"
"1F929C25761AD910A72128F454B78F330F9F0374AB1C034DB8E8F1FFCAEAA732","59","2","118"
"7AD687FA0778772A8E420126D4855B25ED3177FB5A5726CDD240EACDCC0C5010","2438","2","4876"
"F6B371377BAB3018DAC2BCA63E27502ECBD5D06F708AD7E312658D3B5315D948","631","2","1262"
"7A3C078A703C55D8B2C3D74266E26C5AED93B663B97AF3EBDD7B31FFC58AE5F5","1635","3","4905"
"F53F91E08E1243F1B20840F8B04079873987C4FC7B3CE4DB29C3503268175FB4","38","3","114"
"CC152D4B3E60611F329B299DB3FF1A185F7D4B2EA9F2C4ACFBE2DC968F225240","1070","3","3210"
"C89838AF93A87F9FFDC013EF6C55B4FBEB1EBCD69FF30BC0A9B31B8D3DB5BB3B","93","2","186"
"FCE834153767F41A97101C11A49A0A39FC434958C7E1D95BEAF85A4D1547D18E","216","2","432"
"3DB90F79E36BCB60B3F8DE1BC60321026800979C150E5615047D598C787A64B7","1005","2","2010"
"B983BA7D51C510DB35A4E094E658AE5AFFB797470087B5642C5EF7702F2E32E0","566","2","1132"
"20D61D0667F95F0D8BD5C70334EE21DD689DE75C9DE78334D005931B23E44AF8","330","2","660"
"390A6E0197B31778C4083F0598B9A61D19D1E40B8F6B382B95C6DBC86B0AEC36","792","2","1584"
"80267B2F69BC84E864FA2C721F5BFC49F4210CE7A2F000570CA790979B64F8E6","937","4","3748"
"64812B931365EC92CD3ED79AE5508B4B74ECAB1DFA6B31B9C8DC4902AD620693","3767","5","18835"
"C522F91763750046E38C356A6D2DD5383FD9A96A82B0B0D077A68390203A486C","859","2","1718"
"11EFC819ADA309020035E41B0AC19E1C08E67B25F31334C75C40A57693523625","6150","4","24600"
"077F9051CEC4038F67D1F68FF8F7459DFA209E9D5F77E0CED8BBDB2F0A0915D2","304","2","608"
"1F8AD4F93F6942D4A5FFCC242A869BBAC079CA75036C45A821ACD315B43B4E09","314","8","2512"
"E3DA17E32FB4A64503A7107B8EB603E2E72BC182E6CA06175B98821A06781D14","2260","4","9040"
"92FA710F6EF480FE3843648435072D305170B55D0BE8F7C870316F070404CCF4","171","2","342"
"A62B5B270009E6404295D6CFE128593C071254222E8D0E697172A22C3141205F","3800","5","19000"
"53C59752C65257171F525CB46D670BA6EC79E6239BF029612909BD7E3E1F7EC1","29944","2","59888"
"7562A3670C1DB1009FD0E66A75BACFC28F30F25042EB361F8ADA3A4EA56111B5","437","2","874"
"1C135967FE017596A8EF3D4443BA9EB50ED17688FE7918F7F209A53CCEA5D79B","3864790","5","19323950"
"2071C8E16E7F293381E0759861516343EC3E4FBC51F4CB507AC82F45B3AE210B","111","2","222"
"8BCE953676484EDEF34C6768919BDEEFED91BC040AEA0DB2B39A0F6CAE083F4A","373","2","746"
"855822F9D90BB3FE1291CBE059524C92E0833F1F9AA20290F5B0ED75423BBF66","1754","2","3508"
